5	4482	2996
10	5990	5973
15	6000	5982
20	6010	5992
25	6020	6002
30	6030	6012
35	6040	6022
40	6050	6032
45	6060	6042
50	6070	6052
55	6080	6062
60	6090	6072
65	6100	6082
70	6110	6092
75	6120	6102
80	6130	6112
85	6140	6122
90	6150	6132
95	6160	6142
100	6170	6152
105	6180	6162
110	6190	6172
115	6200	6182
120	6210	6192
125	6220	6202
130	6230	6212
135	6240	6222
140	6250	6232
145	6260	6242
150	6270	6252
155	6280	6262
160	6290	6272
165	6300	6282
170	6310	6292
175	6320	6302
180	6330	6312
185	6340	6322
190	6350	6332
195	6360	6342
200	6370	6353
205	6380	6365
210	6390	6390
215	6390	6390
220	6390	6390
225	6390	6390
230	6390	6390
235	6390	6390
240	6390	6390
245	6390	6390
250	6390	6390
255	6390	6390
260	6390	6390
265	6390	6390
270	6390	6390
275	6390	6390
280	6390	6390
285	6390	6390
290	6390	6390
295	6390	6390
300	6390	6390
