5	145	116
10	290	261
15	435	406
20	580	551
25	725	696
30	870	841
35	1015	986
40	1160	1131
45	1305	1276
50	1450	1421
55	1595	1566
60	1740	1711
65	1885	1856
70	2030	2001
75	2175	2146
80	2320	2291
85	2465	2436
90	2610	2581
95	2755	2726
100	2900	2871
105	3045	3016
110	3190	3161
115	3335	3306
120	3480	3451
125	3625	3596
130	3770	3741
135	3915	3886
140	4060	4031
145	4205	4176
150	4350	4321
155	4495	4466
160	4640	4611
165	4785	4756
170	4930	4901
175	5075	5046
180	5220	5191
185	5365	5336
190	5510	5481
195	5655	5626
200	5800	5800
205	5800	5800
210	5800	5800
215	5800	5800
220	5800	5800
225	5800	5800
230	5800	5800
235	5800	5800
240	5800	5800
245	5800	5800
250	5800	5800
255	5800	5800
260	5800	5800
265	5800	5800
270	5800	5800
275	5800	5800
280	5800	5800
285	5800	5800
290	5800	5800
295	5800	5800
300	5800	5800
